持證廚師	1060715	1060715	8	持證廚師繼續教育	70	臺中市	請洽辦理單位	台中市西區忠明南路303號19樓之3	即日起	1060501	1060715	台中市西區忠明南路303號19樓之3	中華餐飲業產業工會	謝明勳	04-23055123	skymen65@gmail.com	臺中市衛生局	中市衛食藥字第1060050204號		報名網址 http://meihsiu.com/union3/帳號：中國信託景美分行(822)120540049870 中華餐飲業產業工會＊請完成轉帳後來電告知帳號後五碼＊	600	800	供餐作業流程之管制	2	台中市政府衛生局	1300	
持證廚師	1060711	1060711	8	持證廚師繼續教育	50	臺北市	請洽辦理單位	臺北市中正區忠孝西路一段50號18樓之4	即日起	1051207	1060711	※臺北市忠孝西路一段50號18樓之4    ※臺北市文山區景華街47號	中華餐飲業產業工會	謝欣穎	02-29325187	hsiehsy12@gmail.com	臺北市衛生局	北市衛食藥字第10544032500號	1060103	【線上報名】http://meihsiu.com/union3/【匯款帳號】(822)120540049870 ＊請完成匯款後來電告知帳號後五碼＊  上課請繳交身分證影本一份、照片二張，謝謝	600	800	油炸油使用原則與反式脂肪	2	徐近平		
持證廚師	1060711	1060711	8	持證廚師繼續教育	50	臺北市	請洽辦理單位	臺北市中正區忠孝西路一段50號18樓之4	即日起	1051207	1060711	※臺北市忠孝西路一段50號18樓之4    ※臺北市文山區景華街47號	中華餐飲業產業工會	謝欣穎	02-29325187	hsiehsy12@gmail.com	臺北市衛生局	北市衛食藥字第10544032500號	1060103	【線上報名】http://meihsiu.com/union3/【匯款帳號】(822)120540049870 ＊請完成匯款後來電告知帳號後五碼＊  上課請繳交身分證影本一份、照片二張，謝謝	600	800	食安風暴中的產品開發及研發管理	2	徐近平		
持證廚師	1060711	1060711	8	持證廚師繼續教育	50	臺北市	請洽辦理單位	臺北市中正區忠孝西路一段50號18樓之4	即日起	1051207	1060711	※臺北市忠孝西路一段50號18樓之4    ※臺北市文山區景華街47號	中華餐飲業產業工會	謝欣穎	02-29325187	hsiehsy12@gmail.com	臺北市衛生局	北市衛食藥字第10544032500號	1060103	【線上報名】http://meihsiu.com/union3/【匯款帳號】(822)120540049870 ＊請完成匯款後來電告知帳號後五碼＊  上課請繳交身分證影本一份、照片二張，謝謝	600	800	菜單設計與食品安全	2	呂瑩珍		
持證廚師	1060711	1060711	8	持證廚師繼續教育	50	臺北市	請洽辦理單位	臺北市中正區忠孝西路一段50號18樓之4	即日起	1051207	1060711	※臺北市忠孝西路一段50號18樓之4    ※臺北市文山區景華街47號	中華餐飲業產業工會	謝欣穎	02-29325187	hsiehsy12@gmail.com	臺北市衛生局	北市衛食藥字第10544032500號	1060103	【線上報名】http://meihsiu.com/union3/【匯款帳號】(822)120540049870 ＊請完成匯款後來電告知帳號後五碼＊  上課請繳交身分證影本一份、照片二張，謝謝	600	800	飲食與疾病之關係	2	呂瑩珍		
持證廚師	1060925	1060925	8	持證廚師繼續教育	50	臺北市	請洽辦理單位	臺北市中正區忠孝西路一段50號18樓之4	即日起	1060103	1060925	※臺北市忠孝西路一段50號18樓之4    ※臺北市文山區景華街47號	中華餐飲業產業工會	謝欣穎	02-29325187	hsiehsy12@gmail.com	臺北市衛生局	北市衛食藥字第10544032500號	1060103	【線上報名】http://meihsiu.com/union3/【匯款帳號】(822)120540049870 ＊請完成匯款後來電告知帳號後五碼＊  上課請繳交身分證影本一份、照片二張，謝謝	600	800	廚房消毒與病媒防治	2	黃慶軒		
持證廚師	1061209	1061209	8	持證廚師繼續教育	70	高雄市	請洽辦理單位	高雄市苓雅區中正一路306號5樓之4	即日起	1060101	1061209	高雄市苓雅區中正一路306號5樓之4	中華餐飲業產業工會	孫偉光	07-7119618	hsiehsy12@gmail.com	高雄市衛生局			【線上報名】http://meihsiu.com/union3/【匯款帳號】(108)020420011503 ＊請完成匯款後來電告知帳號後五碼＊  上課請繳交身分證影本一份、照片二張，謝謝	400	800	新良好衛生規範GHP	2	楊惠美	0900	
持證廚師	1060710	1060710	8	持證廚師繼續教育	120	苗栗縣	請洽辦理單位	苗栗縣工業會	即日起	1060424	1060717	苗栗縣餐飲工會	苗栗縣餐飲業職業工會	陳瑞貞	037-321540	tuche.ch5216@msa.hinet.net	苗栗縣衛生局	苗衛食字第1060007226號函	1060419		800	800	如何選擇食用油	2	林玉禎	0810	
持證廚師	1060710	1060710	8	持證廚師繼續教育	120	苗栗縣	請洽辦理單位	苗栗縣工業會	即日起	1060424	1060717	苗栗縣餐飲工會	苗栗縣餐飲業職業工會	陳瑞貞	037-321540	tuche.ch5216@msa.hinet.net	苗栗縣衛生局	苗衛食字第1060007226號函	1060419		800	800	食品中毒案例探討	3	陳德昇	1410	
持證廚師	1060710	1060710	8	持證廚師繼續教育	120	苗栗縣	請洽辦理單位	苗栗縣工業會	即日起	1060424	1060717	苗栗縣餐飲工會	苗栗縣餐飲業職業工會	陳瑞貞	037-321540	tuche.ch5216@msa.hinet.net	苗栗縣衛生局	苗衛食字第1060007226號函	1060419		800	800	食品良好衛生規範準則	1	林秀勤	1300	
