106	01~02	包葉菜類	包心白菜	剋安勃Chlorantraniliprole 11.5(2.0)、派滅淨Pymetrozine 0.48 (不符使用規定)、脫芬瑞Tolfenpyrad 4.7 (0.5)、芬普尼Fipronil 0.32 (0.03)、第滅寧Deltamethrin 0.4 (0.2)	新北市政府衛生局	存輝蔬果行/新北市土城區農豐街4號	
106	01~02	小葉菜類	油菜	亞滅培Acetamiprid 2.8 (2.0)、賽滅寧Cypermethrin 3.9 (2.0)	宜蘭縣政府衛生局	宜蘭縣果菜運銷合作社2號綠芳/宜蘭縣宜蘭市黎明二路1號	
106	01~02	小葉菜類	韭菜黃	芬普尼Fipronil 0.008 (不符使用規定)	臺中市政府衛生局	巧鄰實業股份有限公司/臺中市大甲區蔣公路295號	
106	01~02	小葉菜類	芹菜	達滅芬Dimethomorph 0.19 (不符使用規定)	彰化縣衛生局	大義家五金生鮮超市/彰化縣埔心鄉瓦中村員鹿路1段107號	
106	01~02	小葉菜類	油菜	賽滅寧Cypermethrin 4.4 (2.0)	彰化縣衛生局	錦慶商行/彰化縣花壇鄉中正路243號	
106	01~02	小葉菜類	茼蒿	賽座滅Cyazofamid 0.02 (不符使用規定)	彰化縣衛生局	鄉親超市/彰化縣社頭鄉社頭村社斗路1段170-3號	
106	01~02	小葉菜類	油菜	阿巴汀Abamectin 0.17 (0.05)	彰化縣衛生局	松青屋生鮮超市/彰化縣田中鎮北路里福安路332號	
106	01~02	小葉菜類	油菜	賽滅寧Cypermethrin 3.7 (2.0)	彰化縣衛生局	眾喜生鮮超市/彰化縣溪湖鎮太平里西環路407、409號	
106	01~02	小葉菜類	油菜	賽滅寧Cypermethrin 3.2 (2.0)	彰化縣衛生局	全國生鮮超市/彰化縣溪湖鎮大竹里西環路148號	
106	01~02	小葉菜類	青蔥	安美速Amisulbrom 0.06 (不得檢出)、護矽得Flusilazole 0.04 (不得檢出)	新竹市衛生局	三商行股份有限公司新竹高翠分公司/新竹市東區高翠路341號	
106	01~02	小葉菜類	青江菜	芬普尼Fipronil 0.02 (不符使用規定)	基隆市衛生局	罌粟花庭園複合式火鍋料理(愛麗絲小吃店)/ 基隆市仁愛區愛六路004號	
106	01~02	小葉菜類	韭菜	樂滅草Oxadiazon 0.02 (不符使用規定)、亞托敏Azoxystrobin 1.5 (1.0)	新竹市衛生局	惠康百貨股份有限公司/新竹市東區食品路262、264、266號	
106	01~02	小葉菜類	本產西洋芹	賽座滅Cyazofamid 0.03 (不符使用規定)	新北市政府衛生局	 BOX廚房/新北市板橋區重慶路1號	
106	01~02	小葉菜類	芹菜	達滅芬Dimethomorph 0.18 (不符使用規定)	新北市政府衛生局	 city super超市/新北市板橋區新站路28號B1樓	
106	01~02	小葉菜類	油菜	樂滅草Oxadiazon 0.02 (不符使用規定)	新竹縣政府衛生局	新社市場第4攤/新竹縣竹北市新社市場第4攤	
106	01~02	小葉菜類	油菜	賽滅寧Cypermethrin 4.4 (2.0)	花蓮縣衛生局	統冠聯合超商股份有限公司富里營業所/花蓮縣富里鄉富里村中山路156號	
106	01~02	小葉菜類	油菜	芬普尼Fipronil 0.236 (不符使用規定)	新竹縣政府衛生局	新社市場第4攤/新竹縣竹北市新社市場第4攤	
106	01~02	小葉菜類	芹菜	待克利 Difenoconazole 0.14 (不符使用規定)	桃園市政府衛生局	阿婆Q青菜舖/桃園市新屋區中山路70號25.26攤	
106	01~02	小葉菜類	茼蒿	克凡派Chlorfenapyr 1.1 (1.0)	桃園市政府衛生局	桃園市大溪區黃昏市場/桃園市大溪區仁善里五鄰仁忠街151巷36號	
106	01~02	小葉菜類	芹菜	氟比來Fluopicolide 0.02 (不符使用規定)、普拔克Propamocarb hydrochloride 0.05 (不符使用規定)	新竹縣政府衛生局	房漢煙/新竹縣竹北市仁愛街45號旁2棟21號攤	
106	01~02	小葉菜類	芹菜	達滅芬Dimethomorph 0.03 (不符使用規定)、普拔克Propamocarb hydrochloride 0.02 (不符使用規定)	苗栗縣政府衛生局	葉卉姍/苗栗縣竹南鎮第二公有市場外	
106	01~02	小葉菜類	油菜	芬普尼Fipronil 0.01 (不符使用規定)	嘉義縣衛生局	林美麗菜攤/嘉義縣東石鄉東石村22號前	
106	01~02	小葉菜類	油菜	阿納寧Acrinathrin 0.13 (不得檢出)	嘉義縣衛生局	維嶽蔬果/嘉義縣新港鄉古民街40之10號	
106	01~02	小葉菜類	韭菜	賽芬蟎Cyflumetofen 0.03 (不符使用規定)	新竹縣政府衛生局	陸勤部副供中心湖口副供站/新竹縣湖口鄉勝利路二段360號	
106	01~02	小葉菜類	青蔥	護矽得Flusilazole 0.03 (不得檢出)、芬普尼Fipronil 0.004 (不符使用規定)	臺東縣衛生局	聯勤聯合後勤支援指揮部臺東副供站/臺東縣臺東市中興路三段206號	
106	01~02	小葉菜類	韭菜花	克芬蟎Clofentezine 0.34 (不符使用規定)、芬佈賜Fenbutatin-oxide 0.54 (不得檢出)	臺東縣衛生局	臺東縣臺東地區農會/臺東縣臺東市中正路356號	
106	01~02	小葉菜類	芥藍菜	加保扶Carbofuran 2.0 (1.0)、佈飛松Profenophos 3.7 (1.0)	新竹縣政府衛生局	陸勤部副供中心湖口副供站/新竹縣湖口鄉勝利路二段360號	
106	01~02	小葉菜類	芥藍菜	白克列Boscalid 1.01 (不符使用規定)、毆殺滅Oxamyl 0.7 (0.5)、芬普尼Fipronil 0.48 (不符使用規定)	澎湖縣政府衛生局	玖青果商行/澎湖縣馬公市永安街29號	
106	01~02	小葉菜類	青蔥	座賽胺Zoxamide 0.01 (不得檢出)、愛殺松Ethion 0.11 (不得檢出)	嘉義市政府衛生局	頂好超市嘉義二分公司/嘉義市西區嘉義市西區仁愛路211、213號	
106	01~02	小葉菜類	青蔥	愛殺松Ethion 0.09 (不得檢出)	新北市政府衛生局	全聯實業股份有限公司板橋中山分公司/新北市板橋區中山路2段326號	
106	01~02	小葉菜類	芥菜	亞滅培Acetamiprid 3.9 (2.0)、貝芬替Carbendazim 1.8 (1.0)、賽普洛Cyprodinil 0.02 (不符使用規定)、賽滅寧Cypermethrin 34.5 (2.0)、賽達松Phenthoate 1.4 (0.5)	新竹縣政府衛生局	陸勤部副供中心湖口副供站/新竹縣湖口鄉勝利路二段360號	
