SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,43,,良好,2.9,0.19,29,45,16,6.2,3.6,54,1,7.09,.86,2017-01-18 04:00
三重,新北市,37,,良好,5.1,1.45,,46,16,39,,,2,123.73,84.3,2017-01-18 04:00
三義,苗栗縣,36,,良好,1.2,0.17,26,25,10,7.6,3.1,43,2,7.61,.04,2017-01-18 04:00
土城,新北市,30,,良好,4.7,0.36,8,45,20,19,1.3,202,2,20.15,1.48,2017-01-18 04:00
士林,臺北市,16,,良好,5,1.01,1.7,26,9,30,0.5,33,1,63.37,33.22,2017-01-18 04:00
大同,臺北市,44,,良好,6.8,1.14,,49,19,30,,,2,60.12,29.91,2017-01-18 04:00
大里,臺中市,54,懸浮微粒,普通,1.8,0.38,15,54,21,16,1.9,299,2,17.95,2.12,2017-01-18 04:00
大園,桃園市,43,,良好,4.7,0.35,13,48,20,21,2.1,319,2,25.43,3.99,2017-01-18 04:00
大寮,高雄市,63,懸浮微粒,普通,2.6,0.32,11,68,26,17,2.9,314,3,18.05,1.11,2017-01-18 04:00
小港,高雄市,64,懸浮微粒,普通,2.9,0.34,13,65,41,17,2.3,64,4,17.85,.73,2017-01-18 04:00
中山,臺北市,26,,良好,5.3,0.92,1.4,40,18,33,0.9,257,1,51.2,18.61,2017-01-18 04:00
中壢,桃園市,49,,良好,4.1,0.45,4.2,26,21,27,0.7,193,2,39.12,11.78,2017-01-18 04:00
仁武,高雄市,62,懸浮微粒,普通,6.4,0.33,13,60,26,21,3.8,319,3,25.12,3.87,2017-01-18 04:00
斗六,雲林縣,54,懸浮微粒,普通,3.1,0.34,2.9,58,30,16,1.2,33,3,20.17,4.35,2017-01-18 04:00
冬山,宜蘭縣,30,,良好,2.5,0.24,10,23,5,7.9,0.8,213,1,11.81,3.91,2017-01-18 04:00
古亭,臺北市,28,,良好,5.3,0.67,2.8,48,26,30,1.4,251,2,40.1,10.04,2017-01-18 04:00
左營,高雄市,66,懸浮微粒,普通,2.6,0.34,15,89,30,20,2.7,26,3,19.98,.17,2017-01-18 04:00
平鎮,桃園市,52,懸浮微粒,普通,4,0.37,1.9,55,20,28,1.4,217,2,36.12,7.88,2017-01-18 04:00
永和,新北市,24,,良好,5.3,0.68,4.4,43,21,27,1.3,247,2,34.46,7.57,2017-01-18 04:00
安南,臺南市,54,懸浮微粒,普通,1.4,0.19,24,53,17,8.6,2.7,333,1,9.24,.62,2017-01-18 04:00
朴子,嘉義縣,58,懸浮微粒,普通,1.7,0.16,30,67,14,4.1,2.5,164,2,4.35,.22,2017-01-18 04:00
汐止,新北市,19,,良好,1.9,0.53,4.4,17,11,22,0.8,194,2,29.34,7.09,2017-01-18 04:00
竹山,南投縣,53,懸浮微粒,普通,1.9,0.32,2.4,49,27,14,0.7,88,3,15.25,1.75,2017-01-18 04:00
