講習類別,講習開始日期,講習結束日期,講習時數,參加對象,招收人數,講習縣市,報名方式,講習地點,報名類別,報名開始日期,報名結束日期,報名地點,承辦單位,承辦人,連絡電話,承辦人Email,核備單位,核備文號,核備日期,備註說明,會員講習費用,非會員講習費用,課程名稱,時數,講師姓名,上課時間
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","A型肝炎及諾羅病毒預防","2","吳許得","0830"
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","我國食品相關認證與食品覆歷","2","黃健政","1500"
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","食物製備與貯存及食材驗收與源頭管理","2","黃健政","1300"
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","個人衛生與敬業精神","2","吳許得","1030"
"持證廚師","1060826","1060826","8","持證廚師繼續教育","130","高雄市","請洽辦理單位","前鎮區班超路132號6樓-禮堂","依期間","1051223","1060824","高雄市前鎮區班超路132號5樓","高雄市廚師職業工會","鄭淑貞","07-7153762","kh.chef@msa.hinet.net","高雄市衛生局","高市衛食第1060000號","","請備妥(廚師小證正反面影本+照片2章+報名費+綠色時數卡)至工會報名","0","600","如何預防食物中毒與交叉污染","2","認聘中","0830"
"持證廚師","1060826","1060826","8","持證廚師繼續教育","130","高雄市","請洽辦理單位","前鎮區班超路132號6樓-禮堂","依期間","1051223","1060824","高雄市前鎮區班超路132號5樓","高雄市廚師職業工會","鄭淑貞","07-7153762","kh.chef@msa.hinet.net","高雄市衛生局","高市衛食第1060000號","","請備妥(廚師小證正反面影本+照片2章+報名費+綠色時數卡)至工會報名","0","600","食品安全標示與現行食安法規","2","認聘中","1030"
"持證廚師","1060826","1060826","8","持證廚師繼續教育","130","高雄市","請洽辦理單位","前鎮區班超路132號6樓-禮堂","依期間","1051223","1060824","高雄市前鎮區班超路132號5樓","高雄市廚師職業工會","鄭淑貞","07-7153762","kh.chef@msa.hinet.net","高雄市衛生局","高市衛食第1060000號","","請備妥(廚師小證正反面影本+照片2章+報名費+綠色時數卡)至工會報名","0","600","認識反式脂肪抗自由基抗氧化食品","2","認聘中","1520"
"持證廚師","1060826","1060826","8","持證廚師繼續教育","130","高雄市","請洽辦理單位","前鎮區班超路132號6樓-禮堂","依期間","1051223","1060824","高雄市前鎮區班超路132號5樓","高雄市廚師職業工會","鄭淑貞","07-7153762","kh.chef@msa.hinet.net","高雄市衛生局","高市衛食第1060000號","","請備妥(廚師小證正反面影本+照片2章+報名費+綠色時數卡)至工會報名","0","600","餐飲經營管理與行銷","2","認聘中","1320"
"持證廚師","1060916","1060916","8","持證廚師繼續教育","130","高雄市","請洽辦理單位","前鎮區班超路132號6樓-禮堂","依期間","1051223","1060914","高雄市前鎮區班超路132號5樓","高雄市廚師職業工會","鄭淑貞","07-7153762","kh.chef@msa.hinet.net","高雄市衛生局","高市衛食字第1060000號","","請備妥(廚師小證正反面影本+照片2章+報名費+綠色時數卡)至工會報名","0","600","如何預防食物中毒與交叉污染","2","認聘中","0830"
"持證廚師","1060916","1060916","8","持證廚師繼續教育","130","高雄市","請洽辦理單位","前鎮區班超路132號6樓-禮堂","依期間","1051223","1060914","高雄市前鎮區班超路132號5樓","高雄市廚師職業工會","鄭淑貞","07-7153762","kh.chef@msa.hinet.net","高雄市衛生局","高市衛食字第1060000號","","請備妥(廚師小證正反面影本+照片2章+報名費+綠色時數卡)至工會報名","0","600","食品安全標示與現行食安法規","2","認聘中","1030"
