SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,42,,良好,2.7,0.33,6.3,52,18,15,1,34,2,16.52,1.07,2017-05-06 05:00
三重,新北市,56,懸浮微粒,普通,2.6,0.74,,50,18,21,,,3,28.61,8.03,2017-05-06 05:00
三義,苗栗縣,42,,良好,0.3,0.25,7.4,43,19,6.8,0.5,181,2,8.9,2.13,2017-05-06 05:00
土城,新北市,36,,良好,2.2,0.37,12,34,20,15,1.1,350,2,17.5,2.33,2017-05-06 05:00
士林,臺北市,47,,良好,4.4,0.35,22,36,25,13,1.6,130,3,14.31,1.06,2017-05-06 05:00
大同,臺北市,58,懸浮微粒,普通,2.8,0.6,,52,21,11,,,3,20.79,9.34,2017-05-06 05:00
大里,臺中市,50,,良好,2.1,0.32,9.9,43,8,12,0.8,84,2,13.09,1.03,2017-05-06 05:00
大園,桃園市,47,,良好,4.4,0.39,47,54,27,10,3.6,47,3,11.96,1.53,2017-05-06 05:00
大寮,高雄市,54,懸浮微粒,普通,3.7,0.57,7.9,81,41,17,1.6,60,3,18.65,1.75,2017-05-06 05:00
小港,高雄市,46,,良好,3.2,0.29,14,38,25,13,1.6,73,2,12.83,.1,2017-05-06 05:00
中山,臺北市,50,,良好,2.6,0.42,44,48,22,8.3,2.2,119,3,9.01,.73,2017-05-06 05:00
中壢,桃園市,60,懸浮微粒,普通,5.5,0.73,14,70,32,19,0.7,21,4,26.47,7.31,2017-05-06 05:00
仁武,高雄市,56,懸浮微粒,普通,2.7,0.27,19,64,27,8.9,1.4,94,3,9.23,.31,2017-05-06 05:00
斗六,雲林縣,52,懸浮微粒,普通,2.2,0.24,9.5,46,18,11,0.6,125,2,12.69,1.4,2017-05-06 05:00
冬山,宜蘭縣,31,,良好,1.7,0.45,11,34,16,9.9,1.1,317,1,11.37,1.51,2017-05-06 05:00
古亭,臺北市,41,,良好,5.5,0.37,,36,31,9.2,2.1,110,2,11.04,1.87,2017-05-06 05:00
左營,高雄市,52,懸浮微粒,普通,4.6,0.32,10,56,20,,1.3,48,2,,,2017-05-06 05:00
平鎮,桃園市,52,懸浮微粒,普通,4.9,0.45,20,52,32,17,1.7,31,3,18.44,1.7,2017-05-06 05:00
永和,新北市,41,,良好,4,0.39,40,44,28,8.3,1.6,105,3,9.54,1.26,2017-05-06 05:00
安南,臺南市,46,,良好,2.1,0.31,0.8,49,18,17,0.7,46,2,21.16,3.79,2017-05-06 05:00
朴子,嘉義縣,52,懸浮微粒,普通,2.9,0.26,15,67,33,7.5,1.2,42,2,8.44,.98,2017-05-06 05:00
汐止,新北市,42,,良好,4.8,0.39,45,47,31,9,1.6,55,3,9.85,.81,2017-05-06 05:00
竹山,南投縣,46,,良好,1.8,0.25,5.6,50,21,10,0.8,14,2,12.85,2.68,2017-05-06 05:00
竹東,新竹縣,38,,良好,1.3,0.27,7.3,45,17,4.6,1.4,182,2,6.64,2.06,2017-05-06 05:00
西屯,臺中市,47,,良好,1.4,0.27,9.7,43,24,16,1.1,213,3,17.9,1.65,2017-05-06 05:00
沙鹿,臺中市,47,,良好,2.8,0.3,6.5,55,38,18,0.9,32,3,19.64,1.32,2017-05-06 05:00
宜蘭,宜蘭縣,29,,良好,1.3,0.25,20,29,14,5.1,0.6,272,2,6.03,.96,2017-05-06 05:00
忠明,臺中市,40,,良好,1.4,0.29,14,30,18,12,0.9,182,2,13.51,1.56,2017-05-06 05:00
松山,臺北市,41,,良好,5.9,0.4,46,27,,8,1.9,56,,9,1.05,2017-05-06 05:00
板橋,新北市,45,,良好,3.8,0.37,22,43,20,12,1.2,93,3,13.93,2.31,2017-05-06 05:00
林口,新北市,63,懸浮微粒,普通,2.7,0.36,14,72,32,15,0.7,148,4,17.34,1.99,2017-05-06 05:00
林園,高雄市,26,,良好,4,0.08,11,21,12,7.1,1.6,32,2,8.55,1.43,2017-05-06 05:00
花蓮,花蓮縣,16,,良好,0.7,0.15,16,17,7,1.3,1.9,242,1,2.33,1.04,2017-05-06 05:00
金門,金門縣,54,懸浮微粒,普通,4.5,0.33,37,59,38,7.8,2.4,98,4,8.51,.69,2017-05-06 05:00
前金,高雄市,49,,良好,3.4,0.32,7.1,55,27,15,1.5,316,3,16.08,.67,2017-05-06 05:00
前鎮,高雄市,44,,良好,3.8,0.37,7.8,46,28,15,1.6,73,3,16.32,.97,2017-05-06 05:00
南投,南投縣,42,,良好,0.7,0.24,8.2,42,21,8.1,1.3,186,2,9.63,1.57,2017-05-06 05:00
屏東,屏東縣,50,,良好,1.9,0.29,23,48,40,9.5,0.8,84,3,10.82,1.35,2017-05-06 05:00
恆春,屏東縣,21,,良好,0.8,0.05,11,18,6,2.1,2.5,88,1,4.52,2.41,2017-05-06 05:00
美濃,高雄市,45,,良好,0.5,0.27,20,40,29,5.3,0.5,87,3,6.1,.77,2017-05-06 05:00
苗栗,苗栗縣,50,,良好,2.3,0.35,3.8,55,34,12,0.7,204,3,14.31,2.05,2017-05-06 05:00
埔里,南投縣,36,,良好,2,0.26,6,35,21,8.7,1.1,187,3,10.29,1.61,2017-05-06 05:00
桃園,桃園市,50,,良好,7.4,0.45,9.9,44,34,19,0.9,41,3,20.35,1.36,2017-05-06 05:00
馬公,澎湖縣,36,,良好,1.6,0.21,39,43,24,1.3,2.4,69,2,3.04,1.7,2017-05-06 05:00
馬祖,連江縣,42,,良好,1.1,0.28,50,21,12,3.5,3.6,51,2,3.96,.43,2017-05-06 05:00
基隆,基隆市,48,,良好,0.7,0.38,57,28,23,3.2,1.6,88,3,4.03,.84,2017-05-06 05:00
崙背,雲林縣,50,,良好,3.3,0.37,7.8,52,34,15,1.1,330,3,17.49,2.25,2017-05-06 05:00
淡水,新北市,50,,良好,1.9,0.39,31,41,23,6.8,,,3,7.63,.84,2017-05-06 05:00
麥寮,雲林縣,60,懸浮微粒,普通,2.3,0.23,22,81,50,6.1,1.6,48,4,6.87,.8,2017-05-06 05:00
善化,臺南市,45,,良好,5.8,0.3,2.8,47,25,16,0.9,80,2,18.43,2.66,2017-05-06 05:00
復興,高雄市,45,,良好,4.3,0.3,11,52,24,15,2.1,118,3,16.11,1.16,2017-05-06 05:00
湖口,新竹縣,51,懸浮微粒,普通,4.3,0.31,33,52,39,7.6,2.3,37,4,10.24,2.63,2017-05-06 05:00
菜寮,新北市,43,,良好,2,0.42,35,34,21,10,1.8,92,3,11.56,1.31,2017-05-06 05:00
陽明,臺北市,38,,良好,1.3,0.28,46,14,11,3.1,,,2,3.34,.22,2017-05-06 05:00
新竹,新竹市,44,,良好,1.6,0.38,11,40,19,11,0.7,180,3,11.62,.73,2017-05-06 05:00
新店,新北市,36,,良好,1.4,0.31,16,36,18,6.2,1,133,2,7.94,1.75,2017-05-06 05:00
新莊,新北市,46,,良好,3.5,0.41,20,38,31,14,1.7,111,3,15.47,1.32,2017-05-06 05:00
新港,嘉義縣,52,懸浮微粒,普通,2.2,0.38,6.1,59,25,12,1.1,2.5,2,13.53,1.21,2017-05-06 05:00
新營,臺南市,46,,良好,2.9,0.33,2.8,51,35,19,1.6,38,3,21.63,2.15,2017-05-06 05:00
楠梓,高雄市,59,懸浮微粒,普通,1.9,0.29,13,68,26,16,1.2,59,3,17.93,1.88,2017-05-06 05:00
萬里,新北市,52,懸浮微粒,普通,1.3,0.35,60,62,32,2.8,4.5,33,3,3.44,.68,2017-05-06 05:00
萬華,臺北市,43,,良好,3.5,0.4,39,48,26,11,1.8,113,3,12.13,1.07,2017-05-06 05:00
嘉義,嘉義市,52,懸浮微粒,普通,5.7,0.4,6.2,63,24,21,0.9,55,3,22.11,1.21,2017-05-06 05:00
彰化,彰化縣,39,,良好,1.1,0.34,14,36,17,11,1,23,2,12.34,1.08,2017-05-06 05:00
臺西,雲林縣,52,懸浮微粒,普通,3.6,0.25,10,74,49,6.6,2.6,40,4,7.73,1.15,2017-05-06 05:00
臺東,臺東縣,22,,良好,1.2,0.18,13,20,8,3.6,0.6,284,1,4.85,1.22,2017-05-06 05:00
臺南,臺南市,40,,良好,4,0.3,2.9,54,30,,0.9,65,3,,,2017-05-06 05:00
鳳山,高雄市,54,懸浮微粒,普通,1.7,0.3,21,54,24,9.9,1.8,79,3,11.21,1.3,2017-05-06 05:00
潮州,屏東縣,37,,良好,1.2,0.13,11,38,9,5.2,2.3,33,1,6.2,.99,2017-05-06 05:00
線西,彰化縣,51,懸浮微粒,普通,1.4,0.38,11,53,29,13,1.3,90,3,15.45,1.98,2017-05-06 05:00
橋頭,高雄市,50,,良好,3.1,0.27,8.4,46,28,14,1.5,82,3,14.86,.89,2017-05-06 05:00
頭份,苗栗縣,43,,良好,1.6,0.26,7.1,45,27,6.3,0.9,71,3,7.28,.98,2017-05-06 05:00
龍潭,桃園市,39,,良好,1.4,0.29,15,35,13,6.9,0.7,45,2,7.92,1.07,2017-05-06 05:00
豐原,臺中市,29,,良好,1.7,0.22,17,20,6,7.5,0.6,15,2,8.78,1.33,2017-05-06 05:00
關山,臺東縣,14,,良好,1.3,,8.8,14,9,2.6,0.7,184,1,4.79,2.19,2017-05-06 05:00
觀音,桃園市,52,懸浮微粒,普通,6.9,0.37,48,60,23,10,3.1,68,3,10.63,.23,2017-05-06 05:00
