FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
V75B2324,君安旅店,2010年第4季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
V75B2324,君安旅店,2010年第3季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
V75B2324,君安旅店,2010年第2季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
V75B2324,君安旅店,2010年第1季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
V75B2324,君安旅店,2011年第4季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
E49A4634,日月光半導體製造股份有限公司凸晶二B廠,2011年第4季,1.067,公噸,0,公噸,0,公噸,0,公噸,完成核算
V75B2324,君安旅店,2011年第3季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
V75B2324,君安旅店,2011年第2季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
V75B2324,君安旅店,2011年第1季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
V75B2324,君安旅店,2012年第4季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
L8700309,彰化縣農會東勢林場,2012年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
L8601276,櫻豐銘牌工業社,2012年第4季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
F0610206,賀盛高週波金屬工業股份有限公司,2012年第4季,6.86,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9100638,台二股份有限公司,2012年第4季,0.027,公噸,0,公噸,0,公噸,0,公噸,完成核算
B2408542,大宙金屬工業股份有限公司,2012年第4季,1.045,公噸,0,公噸,0,公噸,0,公噸,完成核算
V75B2324,君安旅店,2012年第3季,0,公噸,0,公噸,0.006,公噸,0.004,公噸,完成核算
L8700309,彰化縣農會東勢林場,2012年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
L8601276,櫻豐銘牌工業社,2012年第3季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
F0610206,賀盛高週波金屬工業股份有限公司,2012年第3季,6.37,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9100638,台二股份有限公司,2012年第3季,0.022,公噸,0,公噸,0,公噸,0,公噸,完成核算
B2408542,大宙金屬工業股份有限公司,2012年第3季,1.375,公噸,0,公噸,0,公噸,0,公噸,完成核算
V75B2324,君安旅店,2012年第2季,0,公噸,0,公噸,0.006,公噸,0.004,公噸,完成核算
L8700309,彰化縣農會東勢林場,2012年第2季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
L8601276,櫻豐銘牌工業社,2012年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
F0610206,賀盛高週波金屬工業股份有限公司,2012年第2季,7.595,公噸,0,公噸,0,公噸,0,公噸,完成核算
E49A4634,日月光半導體製造股份有限公司凸晶二B廠,2012年第2季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
B9100638,台二股份有限公司,2012年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
B2408542,大宙金屬工業股份有限公司,2012年第2季,0.825,公噸,0,公噸,0,公噸,0,公噸,完成核算
V75B2324,君安旅店,2012年第1季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
L8601276,櫻豐銘牌工業社,2012年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
E49A4634,日月光半導體製造股份有限公司凸晶二B廠,2012年第1季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
B9100638,台二股份有限公司,2012年第1季,0.021,公噸,0,公噸,0,公噸,0,公噸,完成核算
B2408542,大宙金屬工業股份有限公司,2012年第1季,1.375,公噸,0,公噸,0,公噸,0,公噸,完成核算
V75B2324,君安旅店,2013年第4季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
L8700309,彰化縣農會東勢林場,2013年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
L8601276,櫻豐銘牌工業社,2013年第4季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
F0610206,賀盛高週波金屬工業股份有限公司,2013年第4季,6.86,公噸,0,公噸,0,公噸,0,公噸,完成核算
E2800107,台力橡膠股份有限公司一廠,2013年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
B9100638,台二股份有限公司,2013年第4季,0.024,公噸,0,公噸,0,公噸,0,公噸,完成核算
B2408542,大宙金屬工業股份有限公司,2013年第4季,1.155,公噸,0,公噸,0,公噸,0,公噸,完成核算
V75B2324,君安旅店,2013年第3季,0,公噸,0,公噸,0,公噸,0.002,公噸,完成核算
L8700309,彰化縣農會東勢林場,2013年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
L8601276,櫻豐銘牌工業社,2013年第3季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
F0610206,賀盛高週波金屬工業股份有限公司,2013年第3季,7.105,公噸,0,公噸,0,公噸,0,公噸,完成核算
E2800107,台力橡膠股份有限公司一廠,2013年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
B9100638,台二股份有限公司,2013年第3季,0.023,公噸,0,公噸,0,公噸,0,公噸,完成核算
B2408542,大宙金屬工業股份有限公司,2013年第3季,0.605,公噸,0,公噸,0,公噸,0,公噸,完成核算
V75B2324,君安旅店,2013年第2季,0,公噸,0,公噸,0,公噸,0.003,公噸,完成核算
L8700309,彰化縣農會東勢林場,2013年第2季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
L8601276,櫻豐銘牌工業社,2013年第2季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
