衛評餐服字第110號	高雄市	餐飲服務業	福容大飯店股份有限公司高雄分公司福園廳	郭美珠	80344 鹽埕區 五福四路45號	07-5511188	廢止	2014-05-14	600	李O三	負責人 郭O珠中餐房副主廚  蕭O定食品衛生管理(專責)人員 李O三中餐助廚 顏O美						
衛評餐服字第001號	桃園市	餐飲服務業	衛生福利部桃園醫院供膳場所	徐永年	330 桃園市 中山路1492號	03-3699721	展延(有效)	2017-10-13	2500餐食份/日	張O寬	食品衛生管理(專責)人員暨營養師 張O寬營養科主任  施O梅供膳營養師 戴O婷 營養師 莊O潔	鼎正有限公司	陳再昌	新北市板橋區幸福路60巷4-2號	02-2902-1316	中華民國98年10月14日衛署食字0980030008號公告發布中華民國98年10月21日衛署食字0980462198號公告修正中華民國99年1月12 日桃衛食字第0990031477號變更負責人中華民國99年8月16 日桃衛食字第0990069854號變更衛管人員中華民國100年1月19日食研檢字第100003610號展延申請中華民國101年4月18日桃衛食藥字第1010161472號變更	
衛評餐服字第002號	臺東縣	餐飲服務業	台東龍港餐飲有限公司	陳靜敏	950 台東市 富岡里松江路1段178號1樓	089-281756	展延(有效)	2017-10-13	3000餐食份/日	謝O憑	總經理：陳O敏製程經理：王O琴衛生管理(專責)人員：謝O憑					中華民國98年10月14日衛署食字0980030007號公告發布中華民國100年11月7日食研檢字第1000003965號展延申請中華民國102年11月14日食研檢字第1020005505號展延申請中華民國102年11月14日食研檢字第1020005505號展延申請	
衛評餐服字第003號	桃園市	餐飲服務業	衛生福利部桃園療養院供膳場所	簡以嘉	330 桃園市 龍壽街71號	03-3698553	廢止	2015-11-15	3,000餐食份/日	蘇O	食品衛生管理(專責)人員暨營養師 蘇O院方營養師 王O予營養師助理 郭O芬	鼎正有限公司	陳再昌	台北縣板橋市幸福路60巷4-2號	02-29021316		
衛評餐服字第007號	高雄市	餐飲服務業	高雄市私立復華高級中學中央廚房	康木村	802 苓雅區 民權一路42號	07-537-3882	廢止	2014-01-16	2,000餐食份/日	鄭O琦	提案人：蕭O祥                                                         同意人：謝O安                                                      小組召集人：謝O安                                                                 食品衛管人員：鄭O琦	健一食品有限公司	謝騏安	高雄市三民區應安街424之4號5樓	07-7021966	中華民國99年2月2日署授食字第0990003808號公告發布	
衛評餐服字第009號	新北市	餐飲服務業	衛生福利部樂生療養院供膳場所	賴慧貞	242 新莊區 中正路794號及桃園縣龜山鄉萬壽路1段50巷2號	02-82006600	廢止	2016-04-08	4,500餐食份/日	張O嘉	衛生管理專責人員 張O嘉樂生營養師組長 蘇O華樂生營養師 蔡O禎鼎正公司經理 游O足鼎正公司營養師 劉O芬	鼎正有限公司	陳再昌	新北市板橋市幸福路60巷4-2號	02-29021316	中華民國99年4月9日署授食字第0990014531號函公告發布中華民國103年9月11日食研技字第1030004595號函申請展延	
衛評餐服字第010號	臺南市	餐飲服務業	行政院衛生署嘉南療養院供膳場所	邱獻章	717 仁德區 中山路870巷80號	06-279-5019	廢止	2012-04-08	1,000餐食份/日	蔡O真	院方營養師-盧O琪生產組組長-王O華衛生管理人員(營養師)-蔡O真	鼎正有限公司	陳再昌	台北縣板橋市幸福路60巷4-2號	02-29021316	中華民國99年4月9日署授食字第0990016592號公告發布	
衛評餐服字第011號	嘉義縣	餐飲服務業	台中榮民總醫院灣橋分院供膳場所	林耘德	604 竹崎鄉 灣橋村石麻園38號	05-279-1072	廢止	2012-04-27	1,500餐食份/日	羅O娟	營養師-陳O玲營養員-賴O宏衛生管理人員(營養師)-羅O娟	鼎正有限公司	陳再昌	台北縣板橋市幸福路60巷4-2號	02-29021316	中華民國99年4月28日署授食字第0991301181號公告通過中華民國100年2月25日 嘉衛藥食字第1000004467號函變更醫院名稱及負責人	
衛評餐服字第013號	臺中市	餐飲服務業	台中市大勇國民小學供膳場所	周玉娟	403 西區 忠明南路515號	04-2375-5959	廢止	2014-04-28	3,000餐食份/日	陳O涵	經理-趙O毅營養師-洪O宜衛生管理人員-陳O涵	台邑食品有限公司	童育賢	台中縣清水鎮吳厝里東山路59-51號	04-26202168	中華民國99年4月29日署授食字第0990020667號公告發布 中華民國100年3月30日中市衛食藥字第1000701389號函變更衛生管理人員	
衛評餐服字第015號	彰化縣	餐飲服務業	秀傳醫療社團法人秀傳紀念醫院供膳場所	黃明和	500 彰化市 南瑤里中山路一段542號	04-7256166#85601	廢止	2012-07-18	2000 個/日	吳O茹	營養師-施O霞營養科主任-張O秀衛生管理人員-吳O茹	高松食品股份有限公司	黃宏威	嘉義縣民雄鄉福樂村成功五街9號			
